iteration(key)	values
19000000 (returns)	510.602	288.476	516.313	513.478	483.941	531.932	508.274	480.588	452.360	548.578	554.056	505.147	443.563	563.845	566.906	517.785	453.490	508.964	296.622	508.126	563.038	516.616	516.643	538.571	562.279	510.437	568.596	510.080	518.933	577.542	478.825	279.163
19500000 (returns)	553.973	521.664	514.913	578.220	545.271	561.546	508.875	549.189	576.842	524.462	321.324	534.282	518.152	512.206	549.203	510.876	518.879	553.485	557.047	546.968	548.420	529.741	510.765	513.107	274.165	521.061	521.045	566.499	514.123	552.198	455.303	557.850
20000000 (returns)	532.365	535.134	562.581	460.518	543.955	517.927	281.944	562.837	510.704	498.858	536.160	555.318	539.176	508.824	549.083	311.788	551.295	551.267	508.572	500.718	282.812	562.305	567.649	472.265	563.644	535.799	546.208	507.650	528.358	510.540	544.912	535.508
20500000 (returns)	564.160	523.724	463.105	512.846	278.692	388.149	511.219	506.173	511.782	372.163	503.424	501.917	478.425	508.830	499.420	539.588	410.154	500.223	516.044	478.172	522.235	508.178	508.935	571.098	478.445	389.442	501.635	434.353	576.285	564.783	567.691	407.749
21000000 (returns)	497.867	417.123	515.119	346.378	556.098	515.165	305.032	509.761	510.430	490.926	284.521	440.395	427.554	204.429	555.522	549.391	568.699	385.796	305.329	336.037	492.991	481.868	334.470	515.002	556.094	509.486	547.826	502.895	305.928	514.973	288.933	357.114
21500000 (returns)	508.154	513.699	537.869	575.191	426.138	577.820	577.464	487.488	508.950	539.520	524.885	276.020	548.211	533.070	555.467	300.046	561.784	278.992	540.943	368.932	577.667	538.593	536.661	529.443	548.535	538.554	557.840	548.721	539.545	523.101	546.994	532.669
22000000 (returns)	490.246	517.137	514.192	436.460	370.489	490.159	503.270	357.041	563.547	379.031	505.504	551.099	526.912	442.012	412.108	422.168	569.315	525.872	508.054	518.494	538.456	568.509	564.162	457.228	387.846	449.831	525.741	563.093	506.933	553.736	542.760	331.840
22500000 (returns)	518.614	262.871	530.409	560.207	543.497	424.210	537.835	247.933	479.792	450.006	537.709	542.006	224.349	266.540	267.812	219.403	414.843	265.470	88.325	537.821	520.339	568.824	448.289	524.281	145.424	315.459	336.061	563.850	564.340	528.314	541.123	504.364
23000000 (returns)	477.126	481.294	569.226	224.537	509.551	418.099	273.227	491.995	504.621	423.543	502.209	477.668	460.551	533.366	495.279	549.199	477.519	479.452	422.603	473.207	445.032	463.588	488.481	568.802	549.574	500.077	485.341	551.960	477.263	482.297	456.155	407.776
23500000 (returns)	473.545	119.090	421.537	115.199	386.253	566.154	121.535	573.353	132.050	119.991	116.241	571.516	346.450	207.456	577.697	126.970	429.020	569.395	430.367	436.061	551.892	125.754	437.688	136.352	127.083	121.483	122.039	105.979	317.080	109.850	145.984	134.992
24000000 (returns)	74.560	81.068	76.893	75.389	79.188	77.711	77.381	76.334	73.376	564.212	87.637	75.677	80.523	81.628	73.083	76.477	78.717	568.751	82.944	82.837	73.569	79.094	76.918	77.043	78.999	96.963	76.433	80.552	86.451	76.169	74.555	483.706
24500000 (returns)	120.415	577.706	124.240	117.450	120.609	549.781	120.073	131.578	124.839	131.653	119.873	119.634	120.527	110.430	118.211	115.666	123.553	126.183	113.428	119.978	125.502	122.614	124.829	117.940	112.443	573.257	114.564	124.846	123.307	119.314	120.825	118.047
25000000 (returns)	77.350	77.957	86.952	75.731	77.401	77.350	569.078	79.508	84.773	75.930	77.205	88.846	84.569	76.412	87.631	75.477	83.563	73.615	568.553	79.403	79.911	77.082	82.195	84.322	78.089	86.605	84.512	77.759	81.095	84.936	77.558	76.385
25500000 (returns)	80.603	88.962	94.391	91.558	87.178	79.425	79.786	88.857	93.101	102.604	91.541	87.222	82.566	87.284	91.507	79.806	79.555	92.188	89.365	87.902	79.832	93.645	79.493	88.083	556.096	90.995	94.588	76.953	89.683	92.262	85.069	88.636
26000000 (returns)	132.824	122.678	121.953	127.219	125.793	119.695	124.581	127.232	119.598	121.311	125.186	128.142	130.515	125.337	126.805	116.197	563.046	135.257	125.194	492.434	122.380	108.641	126.404	118.888	120.763	123.995	121.064	119.380	130.400	124.226	121.045	122.946
26500000 (returns)	111.076	114.832	114.177	113.371	114.595	118.112	113.763	115.049	111.771	112.483	114.534	114.934	107.787	113.647	111.935	115.836	117.143	113.726	111.351	114.893	118.005	112.707	116.550	113.523	109.698	116.635	116.448	113.151	114.259	113.229	110.161	113.884
27000000 (returns)	114.343	117.801	110.224	119.490	115.764	108.899	113.854	109.314	114.780	114.283	115.366	113.333	114.773	105.243	111.569	114.697	115.462	112.038	107.134	116.154	114.506	115.512	114.056	118.221	110.708	107.462	107.551	113.776	116.704	108.607	107.389	112.618
27500000 (returns)	93.474	104.513	98.443	102.157	100.581	103.350	94.462	105.618	101.681	103.324	558.149	104.069	93.794	106.650	103.993	102.499	94.397	97.374	100.624	106.230	97.342	100.994	99.043	94.717	96.017	103.796	101.195	98.176	98.579	93.759	95.628	93.805
28000000 (returns)	112.839	109.622	108.668	112.406	113.190	109.877	109.848	110.899	115.542	112.027	113.090	109.883	110.598	113.593	112.309	114.207	107.981	110.650	111.349	111.847	116.231	113.936	110.537	116.547	115.289	112.358	108.362	113.887	114.223	107.818	111.507	110.433
28500000 (returns)	102.841	101.229	88.993	94.390	94.035	89.117	91.346	90.231	101.015	92.077	96.643	87.802	94.688	93.489	96.359	94.633	96.273	89.032	96.625	88.139	97.378	101.272	87.917	93.346	97.073	90.268	100.575	102.006	88.935	94.894	95.906	102.926
29000000 (returns)	105.905	105.414	98.756	101.122	103.491	106.622	101.207	94.254	107.202	99.185	98.339	98.360	104.011	102.774	101.579	106.524	101.754	109.538	100.523	106.278	99.905	97.114	102.882	108.519	97.555	94.799	94.510	95.331	100.558	101.206	101.810	105.806
29500000 (returns)	95.935	103.381	101.160	101.690	94.369	99.033	105.900	99.959	98.639	98.574	97.743	102.458	565.211	95.432	100.989	96.747	101.909	96.091	94.674	98.466	101.297	101.633	97.395	93.239	96.446	102.068	99.001	97.240	99.269	571.313	102.696	95.551
30000000 (returns)	98.762	92.304	98.824	98.879	92.130	98.506	92.828	93.029	93.114	106.087	92.963	99.546	105.084	102.097	106.121	93.155	99.251	100.602	99.860	106.485	99.570	93.340	98.690	98.465	98.113	105.927	98.505	98.865	98.335	100.997	99.805	93.755
30500000 (returns)	83.581	82.193	85.396	80.867	82.098	93.808	86.922	88.880	89.241	80.883	84.933	84.951	81.160	84.636	80.390	82.239	82.079	89.281	95.587	83.412	86.649	85.772	91.540	87.167	80.070	86.179	93.256	82.771	79.978	92.685	84.572	81.725
